213,Svalbard and Jan Mayen,Svalbard,SJM,SJ,Longyearbyen,2667,61399,20,120
214,Sweden,Swedish,SWE,SE,Stockholm,10036379,450295,20,120
215,Switzerland,Swiss,CHE,CH,Bern,8591365,41284,20,150
232,Ukraine,Ukrainian,UKR,UA,Kiev,43993638,603500,20,140
234,United Kingdom of Great Britain and Northern Ireland,British,GBR,GB,London,67530172,242900,20,120
249,Åland Islands,Åland Island,ALA,AX,Mariehamn,29789,1580,20,120
2,Albania,Albanian,ALB,AL,Tirana,2880917,28748,20,70
5,Andorra,Andorran,AND,AD,Andorra la Vella,77142,468,20,70
14,Austria,Austrian,AUT,AT,Vienna,8955102,83871,20,150
20,Belarus,Belarusian,BLR,BY,Minsk,9452411,207600,20,140
21,Belgium,Belgian,BEL,BE,Brussels,11539328,30528,20,150
28,Bosnia and Herzegovina,Bosnian or Herzegovinian,BIH,BA,Sarajevo,3301000,51209,20,70
34,Bulgaria,Bulgarian,BGR,BG,Sofia,7000119,110879,20,140
54,Croatia,Croatian,HRV,HR,Zagreb,4130304,56594,20,70
58,Czechia,Czech,CZE,CZ,Prague,10689209,78865,20,140
60,Denmark,Danish,DNK,DK,Copenhagen,5771876,43094,20,120
69,Estonia,Estonian,EST,EE,Tallinn,1325648,45227,20,120
73,Faroe Islands,Faroese,FRO,FO,TÛrshavn,48678,1393,20,120
75,Finland,Finnish,FIN,FI,Helsinki,5532156,338424,20,120
76,France,French,FRA,FR,Paris,65129728,551695,20,150
83,Germany,German,DEU,DE,Berlin,83517045,357114,20,150
85,Gibraltar,Gibraltar,GIB,GI,Gibraltar,33701,6,20,70
86,Greece,Greek,GRC,GR,Athens,10473455,131990,20,70
92,Guernsey,Channel Island,GGY,GG,St. Peter Port,63026,65,20,120
98,Holy See,Vatican,VAT,VA,Vatican City,799,0.44,20,70
101,Hungary,Hungarian,HUN,HU,Budapest,9684679,93028,20,140
102,Iceland,Icelandic,ISL,IS,ReykjavÌk,339031,103000,20,120
107,Ireland,Irish,IRL,IE,Dublin,4882495,70273,20,120
108,Isle of Man,Manx,IMN,IM,Douglas,84584,572,20,120
110,Italy,Italian,ITA,IT,Rome,60550075,301336,20,70
113,Jersey,Channel Island,JEY,JE,St. Helier,100000,120,20,120
121,Latvia,Latvian,LVA,LV,Riga,1906743,64559,20,120
126,Liechtenstein,Liechtenstein,LIE,LI,Vaduz,38019,160,20,150
127,Lithuania,Lithuanian,LTU,LT,Vilnius,2759627,65300,20,120
128,Luxembourg,Luxembourg,LUX,LU,Luxembourg,615729,2586,20,150
135,Malta,Maltese,MLT,MT,Valletta,440372,316,20,70
143,"Moldova, Republic of",Moldovan,MDA,MD,Chisinau,4043263,33846,20,140
144,Monaco,MonÈgasque,MCO,MC,Monaco,38964,2.02,20,150
146,Montenegro,Montenegrin,MNE,ME,Podgorica,627987,13812,20,70
154,Netherlands,Dutch,NLD,NL,Amsterdam,17097130,41850,20,150
163,North Macedonia,Macedonian,MKD,MK,Skopje,2083459,25713,20,70
165,Norway,Norwegian,NOR,NO,Oslo,5378857,323802,20,120
176,Poland,Polish,POL,PL,Warsaw,37887768,312679,20,140
177,Portugal,Portuguese,PRT,PT,Lisbon,10226187,92090,20,70
180,Romania,Romanian,ROU,RO,Bucharest,19364557,238391,20,140
181,Russian Federation,Russian,RUS,RU,Moscow,145872256,17098242,20,140
192,San Marino,Sammarinese,SMR,SM,San Marino,33860,61,20,70
196,Serbia,Serbian,SRB,RS,Belgrade,8772235,88361,20,70
201,Slovakia,Slovak,SVK,SK,Bratislava,5457013,49037,20,140
202,Slovenia,Slovenian,SVN,SI,Ljubljana,2078654,20273,20,70
209,Spain,Spanish,ESP,ES,Madrid,46736776,505992,20,70
